time,"# warm-ups since codes cleared ()","Absolute load value (%)","Absolute pedal position D (%)","Absolute pedal position E (%)","Absolute throttle position B (%)","Actual engine - percent torque (%)","Altitude (GPS) (feet)","Ambient air temperature (℉)","Average fuel consumption (MPG)","Average fuel consumption (total) (MPG)","Average fuel consumption 10 sec (MPG)","Average speed (mph)","Average speed (GPS) (mph)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated engine load value (%)","Calculated instant fuel consumption (MPG)","Calculated instant fuel rate (gal./h)","Catalyst temperature Bank 1 Sensor 1 (℉)","Catalyst temperature Bank 1 Sensor 2 (℉)","Commanded EGR duty (%)","Commanded evaporative purge (%)","Commanded throttle actuator (%)","Control module voltage (V)","Distance to empty (miles)","Distance traveled since codes cleared (miles)","Distance traveled with MIL on (miles)","Distance travelled (miles)","Distance travelled (total) (miles)","EGR error (%)","Engine coolant temperature (℉)","Engine Exhaust Flow Rate (g/sec)","Engine Friction - Percent Torque (%)","Engine Fuel Rate (g/sec)","Engine reference torque (N⋅m)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Evap. system vapor pressure (Pa)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel level input (%) (%)","Fuel level input (V) (gallon)","Fuel used (gallon)","Fuel used (total) (gallon)","Fuel used price ($)","Fuel used price (total) ($)","Fuel/Air commanded equivalence ratio ()","Instant engine power (based on fuel consumption) (hp)","Instant engine torque (based on fuel consumption) (N⋅m)","Intake air temperature (℉)","Intake manifold absolute pressure (kPa)","Long term fuel % trim - Bank 1 (%)","Long term secondary oxygen sensor trim Bank 1 (%)","MAF air flow rate (g/sec)","OBD Module Voltage (V)","Oxygen sensor 1 Wide Range Current (mA) (mA)","Oxygen sensor 1 Wide Range Equivalence ratio ()","Oxygen sensor 2 Bank 1 Voltage (V)","Power from MAF (hp)","Relative throttle position (%)","Short term fuel % trim - Bank 1 (%)","Short term secondary oxygen sensor trim Bank 1 (%)","Speed (GPS) (mph)","Throttle position (%)","Timing advance (°)","Vehicle acceleration (g)","Vehicle Fuel Rate (g/sec)","Vehicle Odometer Reading (miles)","Vehicle speed (mph)",
10:32:33.659,,,,,,,4329.47824383606,,,,,,23.4384679580153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7273337706209,,,,,,,
10:32:34.648,,,,,,,4331.08505318362,,,,,,24.0694369769673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5284491452304,,,,,,,
10:32:34.649,,,,,,,4331.08505318362,,,,,,24.0701288432477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5284491452304,,,,,,,
10:32:34.653,,,,,,,4331.06723229121,,,,,,24.0723386265144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1224762350641,,,,,,,
10:32:34.728,,,,,,,4313.97659609863,,,,,,24.0056177153392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
10:32:35.659,,,,,,,4332.81261901662,,,,,,24.6412327786906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9794586976255,,,,,,,
10:32:35.663,,,,,,,4331.66459056292,,,,,,24.6437454573184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4612950834958,,,,,,,
10:32:36.663,,,,,,,4334.23464812337,,,,,,25.3692505230043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5425693550192,,,,,,,
10:32:36.671,,,,,,,4331.66459056292,,,,,,25.3746665060521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4321962300589,,,,,,,
10:32:37.660,,,,,,,4335.86799214339,,,,,,26.1284396458269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0830200075165,,,,,,,
10:32:37.669,,,,,,,4333.50555008319,,,,,,26.1354242255114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9845848779808,,,,,,,
10:32:38.653,,,,,,,4337.32039761334,,,,,,26.8473230867902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.4282661525369,,,,,,,
10:32:38.664,,,,,,,4339.61302262988,,,,,,26.8553125548463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.4281637537198,,,,,,,
10:32:39.140,,,,,,,4310.36775219727,,,,,,26.4462185935071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
10:32:39.141,,,,,,,4310.36775219727,,,,,,26.4458829237189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
10:32:39.180,,,,,,,4339.56615710621,,,,,,26.4729929390784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3692033681685,,,,,,,
10:32:39.687,,,,,,,4338.3700675159,,,,,,26.8457680101788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8362157544496,,,,,,,
10:32:39.688,,,,,,,4338.3700675159,,,,,,26.846118372536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8362157544496,,,,,,,
10:32:39.692,,,,,,,4339.64426635632,,,,,,26.8489598913408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7954268923127,,,,,,,
10:32:40.658,,,,,,,4338.39751147257,,,,,,27.5874288947563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.9167421200315,,,,,,,
10:32:40.667,,,,,,,,,,,,,27.5945116362539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8848960879196,,,,,,,
10:32:40.668,,,,,,,4339.78095807335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:32:41.648,,,,,,,4338.66884511983,,,,,,28.3615829960463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0291827836033,,,,,,,
10:32:41.657,,,,,,,4339.78095807335,,,,,,28.3685498757656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.9552935038453,,,,,,,
10:32:42.645,,,,,,,,,,,,,29.1612176503845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.2621468548785,,,,,,,
10:32:42.646,,,,,,,4338.91643849068,,,,,,29.1616290331782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.2621468548785,,,,,,,
10:32:42.657,,,,,,,4340.01919381907,,,,,,29.1699244108772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.2173004396148,,,,,,,
10:32:43.638,,,,,,,4338.59813729419,,,,,,29.9777600123347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.6124941034665,,,,,,,
10:32:43.639,,,,,,,4338.59813729419,,,,,,29.9781850168209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.6124941034665,,,,,,,
10:32:43.651,,,,,,,4347.22386266469,,,,,,29.9877747668383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.5924751347274,,,,,,,
10:32:44.005,,,,,,,4321.19428390137,,,,,,29.6937601449421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
10:32:44.006,,,,,,,4321.19428390137,,,,,,29.6934487718542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
10:32:44.036,,,,,,,4348.45835535774,,,,,,29.7174219118332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.5436735651539,,,,,,,
10:32:44.658,,,,,,,4338.88263087033,,,,,,30.2400075350666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.612530732206,,,,,,,
10:32:44.659,,,,,,,4338.88263087033,,,,,,30.2405605720711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.612530732206,,,,,,,
10:32:44.671,,,,,,,,,,,,,30.2510801994597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.6175184079213,,,,,,,
10:32:44.672,,,,,,,4349.17915260739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
